Name,CountryCode,Population
Edinburgh,GBR,450180
Edmonton,CAN,616306
Eindhoven,NLD,201843
Ejigbo,NGA,105900
Ekibastuz,KAZ,127200
El Araich,MAR,90400
Elche [Elx],ESP,193174
ElÃ¢zig,TUR,228815
Embu,BRA,222223
Enschede,NLD,149544
Enshi,CHN,93056
Enugu,NGA,316100
Envigado,COL,135848
Epe,NGA,101000
Erode,IND,159232
Escobar,ARG,116675
Eslamshahr,IRN,265450
Esmeraldas,ECU,123045
Essen,DEU,599515
Etawah,IND,124072
EunÃ¡polis,BRA,96610
Exeter,GBR,111000
Ezeiza,ARG,99578
Ezhou,CHN,190123
Fagatogo,ASM,2323
Faizabad,IND,124437
Fargona,UZB,180500
Faridabad,IND,703592
Farrukhabad-cum-Fatehgarh,IND,194567
Feira de Santana,BRA,479992
Fengcheng,CHN,193784
Fengyuan,TWN,161032
Ferrara,ITA,132127
Ferraz de Vasconcelos,BRA,139283
Firenze,ITA,376662
Firozabad,IND,215128
Flint,USA,124943
Florencia,COL,108574
Florencio Varela,ARG,315432
FlorianÃ³polis,BRA,281928
Floridablanca,COL,221913
Foggia,ITA,154891
ForlÃ¬,ITA,107475
Formosa,ARG,147636
Fort Worth,USA,534694
Fortaleza,BRA,2097757
Foshan,CHN,303160
Foz do IguaÃ§u,BRA,259425
Francistown,BWA,101805
Freiburg im Breisgau,DEU,202455
Fuchu,JPN,220576
Fuenlabrada,ESP,171173
Fuji,JPN,231527
Fujieda,JPN,126897
Fujin,CHN,103104
Fujisawa,JPN,372840
Fukaya,JPN,102156
Fukuyama,JPN,376921
Fuling,CHN,173878
Funabashi,JPN,545299
Fushun,CHN,1200000
Fuxin,CHN,640000
Fuyang,CHN,179572
Fuzhou,CHN,1593800
FÃ¼rth,DEU,109771
Gaborone,BWA,213017
Gadag Betigeri,IND,134051
Gandhidham,IND,104585
Gandhinagar,IND,123359
Ganganagar,IND,161482
Ganzhou,CHN,220129
Garden Grove,USA,165196
Garut,IDN,95800
Gaya,IND,291675
Gazipur,BGD,96717
Gdansk,POL,458988
Gdynia,POL,253521
Geelong,AUS,125382
General Mariano Alvarez,PHL,112446
General San MartÃ­n,ARG,422542
Gent,BEL,224180
George,ZAF,93818
George Town,CYM,19600
Georgetown,GUY,254000
Gera,DEU,114718
Germiston,ZAF,164252
Getafe,ESP,145371
Ghaziabad,IND,454156
Ghulja,CHN,177193
Gibraltar,GIB,27025
Gifu,JPN,408007
GijÃ³n,ESP,267980
Gilbert,USA,109697
Gillingham,GBR,92000
Giron,COL,90688
Giza,EGY,2221868
Gjumri,ARM,211700
Gliwice,POL,212164
Gloucester,CAN,107314
Gloucester,GBR,107000
Godhra,IND,96813
GoiÃ¢nia,BRA,1056330
Goma,COD,109094
Gonbad-e Qabus,IRN,111253
Gongziling,CHN,226569
Gorakhpur,IND,505566
Gorgan,IRN,188710
Gothenburg [GÃ¶teborg],SWE,466990
Granada,ESP,244767
Graz,AUT,240967
Grenoble,FRA,153317
Grimsby,GBR,89000
Groningen,NLD,172701
Guadalupe,MEX,108881
Guarapuava,BRA,160510
GuaratinguetÃ¡,BRA,103433
Guarenas,VEN,165889
GuarujÃ¡,BRA,237206
Guarulhos,BRA,1095874
Guasave,MEX,277201
Guayaquil,ECU,2070040
GuaymallÃ©n,ARG,200595
Guaymas,MEX,130108
GuaÃ­ba,BRA,92224
Gudivada,IND,101656
Guelph,CAN,103593
Guigang,CHN,114025
Guilin,CHN,364130
